cell,titration,genotype,conc_M,FITCpos,geomean_FITC,geomean_PE,bin1,bin2,bin3,bin4,mean_bin
1A1,1,NIH45-46,0,64.2,3087,76.9,99,0.91,0.08,0.016,1.011179329
1A2,1,NIH45-46,1.00E-13,63.5,3118,84.4,98.6,1.34,0.069,0,1.01477867
1A3,1,NIH45-46,6.81E-13,64.9,3120,141,96.6,3.24,0.12,0,1.034813926
1A4,1,NIH45-46,4.64E-12,61.7,3104,483,55.6,43.6,0.89,0,1.453391947
1A5,1,NIH45-46,3.16E-11,63.4,3190,2236,4.51,40.6,52.5,2.42,2.528141558
1A6,1,NIH45-46,2.15E-10,62.7,3055,9768,0.016,3.51,38.7,57.7,3.541981066
1A7,1,NIH45-46,1.47E-09,65.6,3034,26923,0.016,0.078,6.75,93.1,3.930421036
1A8,1,NIH45-46,0.00000001,64.2,2800,44977,0,0.048,0.71,98.8,3.991904217
1A9,1,NIH45-46,6.81E-08,63.6,2678,47431,0.016,0,0.53,99,3.994193639
1A10,1,NIH45-46,4.64E-07,64.4,2771,48768,0,0.032,0.55,99,3.993834227
1A11,1,NIH45-46,NA,63.3,3083,106,97.8,1.23,0.082,0.89,1.040639187
1A12,1,NIH45-46,NA,65.2,2929,79.5,98.4,1.39,0.14,0.048,1.018143992
1B1,2,G54hW,0,60.4,2419,77.7,99.1,0.84,0.051,0,1.009420848
1B2,2,G54hW,1.00E-13,59,2472,86.8,98.7,1.21,0.07,0,1.013502701
1B3,2,G54hW,6.81E-13,59.3,2463,177,93.9,6.11,0.035,0,1.061772203
1B4,2,G54hW,4.64E-12,58.2,2469,926,25.5,64.6,9.9,0.071,1.845529674
1B5,2,G54hW,3.16E-11,58.7,2255,3318,1.38,25.8,65,7.85,2.792962111
1B6,2,G54hW,2.15E-10,59.2,2123,11897,0.036,1.53,31.3,67.1,3.655202769
1B7,2,G54hW,1.47E-09,58,2035,24839,0.055,0.073,6.67,93.2,3.930188604
1B8,2,G54hW,0.00000001,58.1,2013,32599,0.036,0.091,2.39,97.4,3.973177738
1B9,2,G54hW,6.81E-08,58.1,2043,35254,0.018,0.018,1.76,98.1,3.98148074
1B10,2,G54hW,4.64E-07,59.3,2088,34991,0,0,1.82,98.1,3.981785428
1B11,2,G54hW,NA,62.1,2463,69.5,99.1,0.49,0.051,0.41,1.018210713
1B12,2,G54hW,NA,60.5,2431,60.2,99.3,0.63,0.017,0.052,1.008200082
1C1,3,P33hY,0,54,2197,84.7,99,0.91,0.019,0.039,1.010653409
1C2,3,P33hY,1.00E-13,55.3,2329,79.3,98.8,1.08,0.057,0.019,1.012515507
1C3,3,P33hY,6.81E-13,53.9,2311,110,98,1.89,0.039,0.019,1.020260535
1C4,3,P33hY,4.64E-12,54.5,2349,316,79,21,0.11,0.019,1.21249588
1C5,3,P33hY,3.16E-11,52.1,2250,1355,12.9,59.1,27.9,0.18,2.153477218
1C6,3,P33hY,2.15E-10,52.5,2296,6139,0.41,9.79,55.7,34,3.234134134
1C7,3,P33hY,1.47E-09,54,2153,18050,0.15,0.43,15.4,84.1,3.833033573
1C8,3,P33hY,0.00000001,54.2,2151,28135,0.038,0.038,4.66,95.3,3.951517454
1C9,3,P33hY,6.81E-08,52,2025,29650,0,0.04,4.14,95.8,3.957791558
1C10,3,P33hY,4.64E-07,52.6,2077,30882,0.02,0.04,4.08,95.8,3.957774665
1C11,3,P33hY,NA,54.4,2114,84.6,98.5,0.87,0.039,0.58,1.026882957
1C12,3,P33hY,NA,60,2425,64.3,99.3,0.52,0.052,0.087,1.00885363
1D1,4,N35hF,0,50.3,2091,68.8,99.3,0.69,0.021,0,1.007319195
1D2,4,N35hF,1.00E-13,50,2290,75.4,98.9,1.03,0.062,0.021,1.012168418
1D3,4,N35hF,6.81E-13,50.2,2362,76.6,98.7,1.22,0.041,0.02,1.013622588
1D4,4,N35hF,4.64E-12,47,2379,77,99,0.95,0.087,0,1.011235843
1D5,4,N35hF,3.16E-11,46.6,2270,76.9,98.7,1.25,0.066,0,1.013817789
1D6,4,N35hF,2.15E-10,48,2366,104,98.5,1.38,0.085,0.064,1.01741495
1D7,4,N35hF,1.47E-09,46,2191,663,46.9,45.2,7.9,0.022,1.610525684
1D8,4,N35hF,0.00000001,45.9,2177,2234,11.1,33.8,49.1,6.01,2.500149985
1D9,4,N35hF,6.81E-08,47.9,2205,5699,1.38,17.6,40.9,40.1,3.197439488
1D10,4,N35hF,4.64E-07,45.9,2223,7639,0.32,13.5,35.4,50.8,3.366526695
1D11,4,N35hF,NA,48.8,2334,89.3,98.5,1.11,0.23,0.15,1.02020202
1D12,4,N35hF,NA,54.8,2508,77.5,99,0.91,0.037,0.019,1.010413541
1E1,5,N35hH,0,63.4,3801,70.8,99.2,0.74,0.097,0,1.009336545
1E2,5,N35hH,1.00E-13,62.3,3848,67.7,99.2,0.76,0.016,0.016,1.008400672
1E3,5,N35hH,6.81E-13,61.9,3932,65.4,99.1,0.77,0.082,0,1.009344485
1E4,5,N35hH,4.64E-12,59.8,3847,75.1,98.7,1.2,0.1,0.017,1.014507534
1E5,5,N35hH,3.16E-11,58.1,3675,84.3,98.5,1.42,0.1,0.02,1.016793283
1E6,5,N35hH,2.15E-10,59.5,3836,154,95.1,4.65,0.23,0.018,1.051641033
1E7,5,N35hH,1.47E-09,59.1,3630,1305,28,36.8,33.1,2.13,2.093571928
1E8,5,N35hH,0.00000001,57.6,3487,4930,4.22,20.7,36.9,38.2,3.090581884
1E9,5,N35hH,6.81E-08,58.4,3621,15737,0.053,5.64,22.7,71.6,3.658586101
1E10,5,N35hH,4.64E-07,58.8,3539,23084,0,1.76,17.4,80.8,3.790716287
1E11,5,N35hH,NA,60,3819,86.2,98.3,1.12,0.19,0.41,1.027294541
1E12,5,N35hH,NA,66.5,4273,69.2,99.1,0.84,0.046,0.046,1.010696577
1F1,6,I37hV,0,68.2,3553,76.5,99.2,0.69,0.045,0.075,1.010048995
1F2,6,I37hV,1.00E-13,69.4,3687,83.2,98.4,1.45,0.12,0,1.016905072
1F3,6,I37hV,6.81E-13,66.9,3726,146,96.2,3.61,0.14,0.031,1.039837569
1F4,6,I37hV,4.64E-12,66.5,3645,508,52.8,46,1.27,0,1.485060458
1F5,6,I37hV,3.16E-11,64,3608,2318,4.21,37.2,55.5,3.03,2.573844307
1F6,6,I37hV,2.15E-10,65.8,3544,10393,0.069,2.67,35.4,61.9,3.590689631
1F7,6,I37hV,1.47E-09,63.7,3368,28042,0.018,0.053,6.46,93.4,3.93375429
1F8,6,I37hV,0.00000001,67,3298,50082,0,0,0.54,99,3.994575045
1F9,6,I37hV,6.81E-08,65.6,3126,53742,0.016,0.016,0.23,98.9,3.996873802
1F10,6,I37hV,4.64E-07,66.6,3318,54567,0,0.032,0.22,98.8,3.997132819
1F11,6,I37hV,NA,70.4,3989,88.4,98.2,1.43,0.1,0.26,1.02410241
1F12,6,I37hV,NA,68.6,3806,87.8,98,1.9,0.09,0.045,1.02214225
1G1,7,I37hW,0,38.3,2072,93.2,98.5,1.47,0.08,0,1.016291854
1G2,7,I37hW,1.00E-13,39.4,2250,88.4,98.4,1.48,0.078,0.026,1.017142743
1G3,7,I37hW,6.81E-13,39.5,2186,95.4,98.3,1.58,0.077,0,1.017347459
1G4,7,I37hW,4.64E-12,38.7,2232,174,95.5,4.45,0.079,0,1.046066641
1G5,7,I37hW,3.16E-11,35.6,2167,652,38.6,58.6,2.88,0,1.643085532
1G6,7,I37hW,2.15E-10,42.8,2278,2734,4.17,28.7,63.2,3.98,2.669565217
1G7,7,I37hW,1.47E-09,36.9,2165,6840,0.36,6.49,56.1,37.1,3.298750625
1G8,7,I37hW,0.00000001,37.1,2117,13508,0.11,2.04,24.7,73.2,3.709045477
1G9,7,I37hW,6.81E-08,39.5,2258,18400,0.087,0.96,15.5,83.4,3.823096241
1G10,7,I37hW,4.64E-07,40.6,2255,19927,0.025,0.76,14.6,84.6,3.838025704
1G11,7,I37hW,NA,39.2,2146,94.6,98.3,1.49,0.1,0.1,1.01990199
1G12,7,I37hW,NA,46.1,2339,72.1,99,0.93,0.022,0.022,1.010402705
2A1,8,N100EhG,0,51.7,2722,79.5,98.7,1.19,0.067,0.022,1.01390292
2A2,8,N100EhG,1.00E-13,55.4,3114,77,98.9,1.07,0.055,0.018,1.012334696
2A3,8,N100EhG,6.81E-13,54.7,3166,77.4,98.6,1.27,0.093,0.037,1.01567
2A4,8,N100EhG,4.64E-12,54.6,3156,77.5,98.6,1.27,0.094,0.019,1.015152576
2A5,8,N100EhG,3.16E-11,53.8,2936,101,97.4,2.15,0.22,0.28,1.034282859
2A6,8,N100EhG,2.15E-10,51.7,2953,114,97.1,2.78,0.12,0,1.0302
2A7,8,N100EhG,1.47E-09,52.6,2893,935,37.6,39.7,22.6,0.19,1.853931462
2A8,8,N100EhG,0.00000001,52.2,2743,2693,11.3,29.1,42.5,17.1,2.654
2A9,8,N100EhG,6.81E-08,52.2,2860,6963,1.48,17,32.5,49,3.290458092
2A10,8,N100EhG,4.64E-07,52.3,2805,8912,0.51,14,29,56.5,3.414758524
2A11,8,N100EhG,NA,54,2875,10958,0.25,10.2,26.8,62.8,3.52073963
2A12,8,N100EhG,NA,53.8,3054,80,98.6,0.92,0.23,0.29,1.022491004
2B1,9,N100EhS,0,51.6,2915,96.9,97.9,1.9,0.18,0.04,1.023795241
2B2,9,N100EhS,1.00E-13,54.3,3242,86.8,98.2,1.74,0.1,0,1.019392243
2B3,9,N100EhS,6.81E-13,55.3,3072,74.7,98.8,1.13,0.037,0.037,1.013149474
2B4,9,N100EhS,4.64E-12,54.8,3214,103,96.1,3.74,0.17,0.056,1.042451982
2B5,9,N100EhS,3.16E-11,52.4,3134,108,96.6,3.15,0.23,0.023,1.036788896
2B6,9,N100EhS,2.15E-10,54.5,3113,239,85.2,14.6,0.17,0.019,1.149986499
2B7,9,N100EhS,1.47E-09,52.4,2845,1938,18.3,32.3,40.3,9.08,2.401680336
2B8,9,N100EhS,0.00000001,52.2,2865,8071,0.64,14.2,32.9,52.3,3.368052779
2B9,9,N100EhS,6.81E-08,51.7,2683,15572,0,4.12,25.7,70.2,3.660667866
2B10,9,N100EhS,4.64E-07,54.3,2770,21125,0.019,1.24,20.2,78.5,3.77253674
2B11,9,N100EhS,NA,53.4,2821,17172,0.25,2.32,21.4,76,3.732019606
2B12,9,N100EhS,NA,57.7,3275,227,88.1,10.7,1.11,0.11,1.132473505
2C1,10,N100EhY,0,44.9,2396,87,98.4,1.53,0.049,0.049,1.017745031
2C2,10,N100EhY,1.00E-13,46.7,2559,84.5,98.2,1.66,0.11,0.045,1.020146978
2C3,10,N100EhY,6.81E-13,47.3,2555,81.6,98.3,1.62,0.092,0,1.018037835
2C4,10,N100EhY,4.64E-12,47.4,2615,85.8,97.7,2.18,0.11,0,1.0240024
2C5,10,N100EhY,3.16E-11,46.7,2541,93.7,97.6,2.3,0.14,0,1.025789684
2C6,10,N100EhY,2.15E-10,47.1,2478,94.9,97.9,1.94,0.18,0.023,1.023679818
2C7,10,N100EhY,1.47E-09,45.1,2450,411,63.4,35.7,0.83,0.13,1.377273636
2C8,10,N100EhY,0.00000001,45.6,2382,1283,22.1,46.5,30.9,0.54,2.098760496
2C9,10,N100EhY,6.81E-08,45.8,2410,2879,6.5,29.2,52.2,12.2,2.7002997
2C10,10,N100EhY,4.64E-07,47.2,2501,4504,2.34,22.1,44.6,31,3.042183127
2C11,10,N100EhY,NA,47.1,2497,3903,3.44,24.6,47.3,24.6,2.931158695
2C12,10,N100EhY,NA,47,2484,91.8,97.9,1.79,0.26,0.088,1.025730223
2D1,11,F98lV,0,42,1981,165,93.8,5.97,0.27,0,1.06507397
2D2,11,F98lV,1.00E-13,37.3,2008,91.4,97.7,2.12,0.18,0.037,1.025900417
2D3,11,F98lV,6.81E-13,37.6,2051,143,95.5,4.33,0.18,0.037,1.047987446
2D4,11,F98lV,4.64E-12,40.3,2084,220,89,10.7,0.28,0,1.112622525
2D5,11,F98lV,3.16E-11,37.7,2045,846,27.3,65.4,7.28,0,1.799759952
2D6,11,F98lV,2.15E-10,39.5,2022,2959,5.4,26.1,60.9,7.64,2.707516993
2D7,11,F98lV,1.47E-09,38.9,1956,8732,0.89,5.39,38.8,54.9,3.477395479
2D8,11,F98lV,0.00000001,39.4,1969,15071,0.14,2.68,19.5,77.7,3.74725055
2D9,11,F98lV,6.81E-08,40,1962,16993,0.29,2.38,16.9,80.4,3.77463239
2D10,11,F98lV,4.64E-07,39,2063,18033,0.03,2.37,15.1,82.5,3.8007
2D11,11,F98lV,NA,40.9,2082,5109,1,13.5,61.9,23.6,3.081
2D12,11,F98lV,NA,37.8,1909,133,95.7,3.9,0.33,0.033,1.046607245
2E1,12,N35hH/N100EhS,0,65,3869,90.2,98,1.93,0.07,0,1.0207
2E2,12,N35hH/N100EhS,1.00E-13,69.7,4417,85.8,97.4,2.49,0.12,0.021,1.027921344
2E3,12,N35hH/N100EhS,6.81E-13,69.1,4476,85.3,98.1,1.84,0.062,0,1.019639607
2E4,12,N35hH/N100EhS,4.64E-12,69.5,4639,93.5,97.5,2.33,0.2,0,1.027291812
2E5,12,N35hH/N100EhS,3.16E-11,67.9,4567,103,97.2,2.48,0.26,0.024,1.030731063
2E6,12,N35hH/N100EhS,2.15E-10,65.5,4354,197,91.5,7.9,0.4,0.2,1.093
2E7,12,N35hH/N100EhS,1.47E-09,66.5,4286,2156,16.8,28.7,45.8,8.75,2.464767616
2E8,12,N35hH/N100EhS,0.00000001,65.1,4111,7891,2.6,11.9,31.8,53.8,3.366633367
2E9,12,N35hH/N100EhS,6.81E-08,66.8,4241,21684,0.048,3.16,16.4,80.4,3.77137829
2E10,12,N35hH/N100EhS,4.64E-07,65.4,4053,28020,0,1.07,12.7,86.2,3.851555467
2E11,12,N35hH/N100EhS,NA,67,4261,17942,0.16,3.21,16.4,80.2,3.766930079
2E12,12,N35hH/N100EhS,NA,67.9,4381,135,96,3.68,0.072,0.29,1.046920293
2F1,13,N35hH/N100EhG,0,60.4,3883,85.9,97.3,2.51,0.14,0.034,1.028924628
2F2,13,N35hH/N100EhG,1.00E-13,67,4466,83.8,97.6,2.31,0.1,0.05,1.02658405
2F3,13,N35hH/N100EhG,6.81E-13,66.7,4580,104,96.5,3.17,0.34,0,1.03849615
2F4,13,N35hH/N100EhG,4.64E-12,66.8,4764,116,95.4,4.27,0.24,0.089,1.050170502
2F5,13,N35hH/N100EhG,3.16E-11,63.2,4363,236,86.4,13.1,0.4,0.073,1.141228132
2F6,13,N35hH/N100EhG,2.15E-10,63.5,4496,972,29.2,54.8,15.4,0.71,1.87633603
2F7,13,N35hH/N100EhG,1.47E-09,63.8,4342,6635,2.11,15,34,49,3.29747278
2F8,13,N35hH/N100EhG,0.00000001,62.1,4105,24840,0.06,1.15,15.8,83,3.817218278
2F9,13,N35hH/N100EhG,6.81E-08,66.3,4167,41424,0,0.074,6.12,93.4,3.937064482
2F10,13,N35hH/N100EhG,4.64E-07,64,3980,42996,0.06,0.12,5.33,93.6,3.941983655
2F11,13,N35hH/N100EhG,NA,64.9,4264,20716,0.3,1.06,14.8,83.9,3.821906856
2F12,13,N35hH/N100EhG,NA,67.6,4506,534,52.8,44.4,2.51,0.31,1.50339932
2G1,14,N35hF/N100EhS,0,45,2253,96.7,96,3.74,0.17,0.067,1.042819849
2G2,14,N35hF/N100EhS,1.00E-13,46.6,2491,88.8,97,2.9,0.15,0,1.031984008
2G3,14,N35hF/N100EhS,6.81E-13,47.8,2546,93.4,96.3,3.48,0.19,0.075,1.040831626
2G4,14,N35hF/N100EhS,4.64E-12,47.7,2618,107,97.2,2.43,0.27,0.12,1.033293341
2G5,14,N35hF/N100EhS,3.16E-11,46,2548,92.5,97.1,2.76,0.16,0,1.030793841
2G6,14,N35hF/N100EhS,2.15E-10,44.8,2445,106,97,2.69,0.23,0.039,1.0326834
2G7,14,N35hF/N100EhS,1.47E-09,41.7,2255,640,46,48.5,5.46,0.12,1.597322142
2G8,14,N35hF/N100EhS,0.00000001,43.4,2331,2161,10.9,33.4,51.5,4.19,2.489848985
2G9,14,N35hF/N100EhS,6.81E-08,45.5,2395,4979,1.35,20.4,44.4,33.9,3.107946027
2G10,14,N35hF/N100EhS,4.64E-07,45.9,2434,7585,0.22,12.6,36.6,50.6,3.375524895
2G11,14,N35hF/N100EhS,NA,45.7,2398,3993,3.77,19.3,58.7,18.2,2.913574072
2G12,14,N35hF/N100EhS,NA,46.5,2305,88,98.5,1.36,0.082,0.027,1.016054977
2H1,15,I37hW/F98lV,0,34.7,1943,104,94.3,5.63,0.042,0,1.057156004
2H2,15,I37hW/F98lV,1.00E-13,42,2107,99.9,96,3.05,0.62,0.33,1.0528
2H3,15,I37hW/F98lV,6.81E-13,42.9,2084,79,96.9,3.06,0.069,0.035,1.033008874
2H4,15,I37hW/F98lV,4.64E-12,40.3,2125,103,97.4,2.53,0.087,0,1.027035404
2H5,15,I37hW/F98lV,3.16E-11,37.3,2031,245,88.1,11.6,0.28,0.046,1.122948034
2H6,15,I37hW/F98lV,2.15E-10,34.8,2103,869,23.6,69.1,7.42,0,1.838393927
2H7,15,I37hW/F98lV,1.47E-09,33.6,2025,1679,2.58,64.4,32.5,0.46,2.308585151
2H8,15,I37hW/F98lV,0.00000001,35,2024,5067,0.042,6.52,79.1,14.3,3.076989256
2H9,15,I37hW/F98lV,6.81E-08,38.4,2076,10075,0.069,1.52,40.4,58.1,3.563918113
2H10,15,I37hW/F98lV,4.64E-07,38.4,2125,11553,0.033,1.1,33,65.9,3.647126448
2H11,15,I37hW/F98lV,NA,43,2264,1691,6.52,54.6,38.2,0.67,2.330233023
2H12,15,I37hW/F98lV,NA,40.1,2049,98.7,97.8,1.82,0.38,0,1.0258